,WRP
519,-0.06633697691491963
520,0.06345652206109786
521,0.017092399250322132
522,-0.030958990897988148
523,0.08540395516496119
524,0.03466955767209795
525,0.08648026642130568
526,-0.054624887288995116
527,0.10571835554326425
528,0.07404169797993815
529,0.04448429291524525
530,0.06578575902340644
531,-0.006855290561771199
532,0.03266221128727431
533,-0.02384576389309262
534,0.026906998068311483
535,-0.13718496082690418
536,0.011226775119396903
537,0.08400950523304812
538,0.04101484323338328
539,0.06867866257969946
540,-0.08213232783965468
541,0.0012826262259050258
542,0.055714317460832774
543,0.0688499941933381
544,-0.01798949218920476
545,-0.04300560345271981
546,0.10418344148003705
547,0.056007864484452996
548,-0.010597918428873865
549,0.08813435208866638
550,0.04878481194711004
551,0.12410112201619755
552,0.07031401711717622
553,0.013277665879009304
554,-0.06112637362637363
555,-0.016944048108370524
556,-0.04161699793128926
557,
558,0.10957970461371319
559,-0.0053648498787498
560,-0.03380044849210395
561,0.09796445695115286
562,-0.018550504390745237
563,0.020450169890479653
564,-0.011455698945507908
565,0.06269309219126518
566,0.08714747959783958
567,0.033544379139161085
568,0.020873834846498907
569,0.006981876541566068
570,
571,-0.013050337499158682
572,0.11238460762771563
573,0.03384692440614129
574,0.02764279988545193
575,-0.05386577968231154
576,0.005546638596910403
577,0.07885223651633061
578,0.05968111221737543
579,0.009381292566080446
580,-0.006872708027108987
581,0.052888729687169844
582,-0.05714285714285716
583,-0.02098654559103591
584,0.03364723091680083
585,-0.05599029916039938
586,
587,-0.21860659157279935
588,-0.048574440291920706
589,
590,-0.021107503649185233
591,
592,0.043245546297501714
593,0.029968429711643207
594,-0.019038172947293486
595,0.10506331568501442
596,
597,
598,0.06750890660342079
599,-0.11053280413616057
600,0.0444126135302606
601,0.060246741914476376
602,0.17329910141206673
603,0.049598540210371134
604,-0.07181540081807758
605,-0.1952607317775857
606,-0.13291968609306073
607,0.002990637828371945
608,
609,-0.09094695288645438
610,0.08282164558037347
611,-0.04728738968406415
612,-0.03484323176651449
613,-0.04367926108910014
614,0.054850359624596445
615,0.02208456297529593
616,0.016902688171758884
617,0.06992969860512155
618,0.03204644422689762
619,-0.031112511220285244
620,-0.026813985695477938
621,0.08543002175783165
622,-0.035604920185613065
623,0.19947958362243004
624,0.019418500424026153
625,-0.04152637751643906
626,-0.014100518711644972
627,0.006402480282034495
628,0.04968337981380777
629,0.11400773438302092
630,-0.00344592135315569
631,0.04336211879534324
632,0.02859472581982997
633,-0.1407366485251984
634,0.07529197827026718
635,0.04398183735454925
636,-0.0411384738394826
637,0.018086542495914237
638,-0.014235754642642151
639,0.014134998589804881
640,0.0026417466751721963
641,0.044509492991401944
642,-0.006499246220885935
643,0.0794265771927839
644,-0.053138006227758716
645,0.04115578256482444
646,0.06328969013703345
647,-0.010945451577981158
648,0.06805230380473343
