,tourney_id,tourney_name,round,winner_id,winner_name,loser_id,loser_name,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace,l_ace,w_df,l_df,w_svpt,w_1stWon,w_1stIn,l_svpt,l_1stWon,l_1stIn,w_2ndWon,l_2ndWon,w_ret_w,w_ret_tot,l_ret_w,l_ret_tot,WRP,WRP2
1964,2017-6242,Winston-Salem,R64,105583,Dusan Lajovic,117365,Petros Chrysochos,84.0,637.0,1360.0,3.0,4.0,5.0,3.0,4.0,53.0,26.0,34.0,43.0,19.0,26.0,12.0,6.0,18,43,15,53,,
1965,2017-6242,Winston-Salem,R64,104571,Marcos Baghdatis,105575,Ricardas Berankis,82.0,645.0,165.0,345.0,14.0,2.0,6.0,6.0,66.0,31.0,39.0,83.0,30.0,46.0,16.0,17.0,36,83,19,66,0.03636849152938226,0.03636849152938226
1966,2017-6242,Winston-Salem,R64,126203,Taylor Harry Fritz,104291,Malek Jaziri,116.0,484.0,80.0,650.0,12.0,3.0,9.0,3.0,107.0,45.0,58.0,76.0,29.0,37.0,20.0,17.0,30,76,42,107,0.017381800397362368,0.017381800397362368
1967,2017-6242,Winston-Salem,R64,106329,Thiago Monteiro,105238,Alexandr Dolgopolov,114.0,491.0,63.0,751.0,8.0,5.0,1.0,3.0,49.0,25.0,32.0,42.0,19.0,22.0,12.0,9.0,14,42,12,49,-0.05864579629088401,-0.05864579629088401
1968,2017-6242,Winston-Salem,R64,105723,Andrey Kuznetsov,106044,Nicolas Kicker,70.0,721.0,93.0,590.0,5.0,3.0,7.0,5.0,59.0,24.0,28.0,67.0,24.0,35.0,15.0,12.0,31,67,20,59,0.0509845816012231,0.0509845816012231
1969,2017-6242,Winston-Salem,R64,105385,Donald Young,104297,Rogerio Dutra Silva,57.0,830.0,68.0,723.0,3.0,3.0,2.0,4.0,57.0,24.0,37.0,52.0,15.0,28.0,13.0,12.0,25,52,20,57,0.0026680254830212524,0.0026680254830212524
1970,2017-6242,Winston-Salem,R64,104312,Andreas Seppi,104386,Janko Tipsarevic,86.0,626.0,66.0,736.0,4.0,1.0,1.0,2.0,43.0,20.0,25.0,50.0,14.0,25.0,12.0,11.0,25,50,11,43,,
1971,2017-6242,Winston-Salem,R64,105526,Jan Lennard Struff,105613,Norbert Gombos,56.0,883.0,83.0,639.0,15.0,7.0,9.0,6.0,92.0,44.0,55.0,97.0,45.0,59.0,15.0,13.0,39,97,33,92,0.004629182749214367,0.004629182749214367
1972,2017-6242,Winston-Salem,R64,104229,Yen Hsun Lu,105559,Jonathan Eysseric,61.0,790.0,290.0,169.0,4.0,1.0,2.0,5.0,44.0,21.0,24.0,55.0,19.0,30.0,12.0,8.0,28,55,11,44,,
1973,2017-6242,Winston-Salem,R64,104122,Carlos Berlocq,106109,Alex Bolt,96.0,561.0,301.0,164.0,1.0,6.0,5.0,2.0,70.0,27.0,41.0,44.0,16.0,26.0,16.0,7.0,21,44,27,70,,
1974,2017-6242,Winston-Salem,R64,106378,Kyle Edmund,105341,Thomas Fabbiano,45.0,1007.0,81.0,646.0,9.0,4.0,2.0,5.0,54.0,29.0,38.0,52.0,17.0,27.0,10.0,11.0,24,52,15,54,-0.023465621008939397,-0.023465621008939397
1975,2017-6242,Winston-Salem,R64,105916,Marton Fucsovics,105208,Ernests Gulbis,122.0,458.0,257.0,201.0,4.0,8.0,3.0,8.0,62.0,30.0,35.0,71.0,29.0,41.0,16.0,13.0,29,71,16,62,0.15544715447154475,0.15544715447154475
1976,2017-6242,Winston-Salem,R64,104547,Horacio Zeballos,136440,Dominik Koepfer,58.0,821.0,268.0,189.0,3.0,0.0,3.0,3.0,50.0,23.0,28.0,44.0,13.0,26.0,12.0,8.0,23,44,15,50,,
1977,2017-6242,Winston-Salem,R64,106000,Damir Dzumhur,104797,Denis Istomin,67.0,725.0,85.0,634.0,2.0,4.0,4.0,1.0,47.0,23.0,27.0,58.0,28.0,42.0,13.0,6.0,24,58,11,47,0.0790747979228073,0.0790747979228073
1978,2017-6242,Winston-Salem,R64,126094,Andrey Rublev,104327,Steve Darcis,54.0,888.0,65.0,741.0,11.0,3.0,5.0,4.0,55.0,22.0,24.0,61.0,27.0,32.0,18.0,10.0,24,61,15,55,0.04307807668785696,0.04307807668785696
1979,2017-6242,Winston-Salem,R64,103898,Julien Benneteau,105732,Pierre Hugues Herbert,107.0,525.0,64.0,742.0,4.0,7.0,5.0,6.0,53.0,21.0,27.0,66.0,23.0,37.0,13.0,9.0,34,66,19,53,0.027917797976611813,0.027917797976611813
1980,2017-560,Us Open,R128,104745,Rafael Nadal,105583,Dusan Lajovic,1.0,7645.0,85.0,637.0,5.0,1.0,5.0,2.0,98.0,41.0,61.0,90.0,35.0,65.0,22.0,13.0,42,90,35,98,0.14342312826447423,0.14342312826447423
1981,2017-560,Us Open,R128,106121,Taro Daniel,126205,Tommy Paul,121.0,465.0,159.0,364.0,1.0,8.0,5.0,9.0,147.0,65.0,90.0,127.0,53.0,77.0,28.0,23.0,51,127,54,147,0.026362828362630875,0.026362828362630875
1982,2017-560,Us Open,R128,105216,Yuichi Sugita,144972,Geoffrey Blancaneaux,44.0,1045.0,331.0,147.0,2.0,3.0,4.0,9.0,65.0,30.0,38.0,72.0,21.0,39.0,17.0,12.0,39,72,18,65,,
1983,2017-560,Us Open,R128,104919,Leonardo Mayer,104755,Richard Gasquet,59.0,815.0,30.0,1390.0,9.0,1.0,8.0,6.0,99.0,41.0,52.0,124.0,45.0,66.0,26.0,26.0,53,124,32,99,-0.03135681859223738,-0.03135681859223738
